country_code,country_name,currency,grade_code,grade_description,step,annual,verified_at,source_url
de,Germany,EUR,A10,Gehobener Dienst — mid-career upper service; typical first promotion grade.,1,42906,2026-04-23T00:06:16.029Z,https://www.gesetze-im-internet.de/bbesg/anlage_iv.html
de,Germany,EUR,A10,Gehobener Dienst — mid-career upper service; typical first promotion grade.,2,44605,2026-04-23T00:06:16.029Z,https://www.gesetze-im-internet.de/bbesg/anlage_iv.html
de,Germany,EUR,A10,Gehobener Dienst — mid-career upper service; typical first promotion grade.,3,47062,2026-04-23T00:06:16.029Z,https://www.gesetze-im-internet.de/bbesg/anlage_iv.html
de,Germany,EUR,A10,Gehobener Dienst — mid-career upper service; typical first promotion grade.,4,49531,2026-04-23T00:06:16.029Z,https://www.gesetze-im-internet.de/bbesg/anlage_iv.html
de,Germany,EUR,A10,Gehobener Dienst — mid-career upper service; typical first promotion grade.,5,52045,2026-04-23T00:06:16.029Z,https://www.gesetze-im-internet.de/bbesg/anlage_iv.html
de,Germany,EUR,A10,Gehobener Dienst — mid-career upper service; typical first promotion grade.,6,53795,2026-04-23T00:06:16.029Z,https://www.gesetze-im-internet.de/bbesg/anlage_iv.html
de,Germany,EUR,A10,Gehobener Dienst — mid-career upper service; typical first promotion grade.,7,55544,2026-04-23T00:06:16.029Z,https://www.gesetze-im-internet.de/bbesg/anlage_iv.html
de,Germany,EUR,A10,Gehobener Dienst — mid-career upper service; typical first promotion grade.,8,57294,2026-04-23T00:06:16.029Z,https://www.gesetze-im-internet.de/bbesg/anlage_iv.html
de,Germany,EUR,A11,Gehobener Dienst — working level. Experienced upper-service civil servants.,1,48682,2026-04-23T00:06:16.029Z,https://www.gesetze-im-internet.de/bbesg/anlage_iv.html
de,Germany,EUR,A11,Gehobener Dienst — working level. Experienced upper-service civil servants.,2,51280,2026-04-23T00:06:16.029Z,https://www.gesetze-im-internet.de/bbesg/anlage_iv.html
de,Germany,EUR,A11,Gehobener Dienst — working level. Experienced upper-service civil servants.,3,53862,2026-04-23T00:06:16.029Z,https://www.gesetze-im-internet.de/bbesg/anlage_iv.html
